,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_class_weight,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.018257856369018555,0.003584146499633789,0.4899817850637523,0.4909101594154797,,balanced,3,0.01,poly,"{'degree': 3, 'gamma': 0.01, 'class_weight': 'balanced', 'kernel': 'poly'}",14,0.5135135135135135,0.5159817351598174,0.4818181818181818,0.48519362186788156,0.4818181818181818,0.48519362186788156,0.48623853211009177,0.48409090909090907,0.48623853211009177,0.48409090909090907,0.00018640204311543704,2.310422424229119e-05,0.012009541176397487,0.012545484154456322
11,0.018525409698486327,0.003652524948120117,0.4899817850637523,0.4909101594154797,,balanced,3,0.001,poly,"{'degree': 3, 'gamma': 0.001, 'class_weight': 'balanced', 'kernel': 'poly'}",14,0.5135135135135135,0.5159817351598174,0.4818181818181818,0.48519362186788156,0.4818181818181818,0.48519362186788156,0.48623853211009177,0.48409090909090907,0.48623853211009177,0.48409090909090907,0.00016734677343248534,7.089406016313636e-05,0.012009541176397487,0.012545484154456322
12,0.02902536392211914,0.005764436721801758,0.4899817850637523,0.4909101594154797,0.5,balanced,,0.01,rbf,"{'C': 0.5, 'gamma': 0.01, 'class_weight': 'balanced', 'kernel': 'rbf'}",14,0.5135135135135135,0.5159817351598174,0.4818181818181818,0.48519362186788156,0.4818181818181818,0.48519362186788156,0.48623853211009177,0.48409090909090907,0.48623853211009177,0.48409090909090907,0.00019802039630811459,0.00013073422722061648,0.012009541176397487,0.012545484154456322
13,0.02900276184082031,0.005824041366577148,0.4899817850637523,0.4909101594154797,0.5,balanced,,0.001,rbf,"{'C': 0.5, 'gamma': 0.001, 'class_weight': 'balanced', 'kernel': 'rbf'}",14,0.5135135135135135,0.5159817351598174,0.4818181818181818,0.48519362186788156,0.4818181818181818,0.48519362186788156,0.48623853211009177,0.48409090909090907,0.48623853211009177,0.48409090909090907,0.0003128739897701959,0.0001384911447126322,0.012009541176397487,0.012545484154456322
14,0.02916874885559082,0.0056994915008544925,0.5045537340619308,0.5104825346484472,1,balanced,,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'class_weight': 'balanced', 'kernel': 'rbf'}",12,0.5135135135135135,0.5159817351598174,0.4909090909090909,0.5193621867881549,0.5272727272727272,0.510250569476082,0.48623853211009177,0.48409090909090907,0.5045871559633027,0.5227272727272727,0.0003332792795334309,3.6527905013242974e-05,0.01495170158887064,0.013824577725312261
15,0.028580427169799805,0.005653476715087891,0.4899817850637523,0.4909101594154797,1,balanced,,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'class_weight': 'balanced', 'kernel': 'rbf'}",14,0.5135135135135135,0.5159817351598174,0.4818181818181818,0.48519362186788156,0.4818181818181818,0.48519362186788156,0.48623853211009177,0.48409090909090907,0.48623853211009177,0.48409090909090907,0.0002108948923111245,8.128117021078231e-05,0.012009541176397487,0.012545484154456322
16,0.026976537704467774,0.005160665512084961,0.639344262295082,0.6634741255977253,10,balanced,,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'class_weight': 'balanced', 'kernel': 'rbf'}",10,0.6936936936936937,0.6552511415525114,0.6636363636363637,0.6560364464692483,0.6272727272727273,0.6765375854214123,0.6422018348623854,0.6727272727272727,0.5688073394495413,0.6568181818181819,0.00015929697167032213,8.804596375179319e-05,0.041642825142956995,0.009203399799950055
17,0.02890939712524414,0.0056991100311279295,0.5009107468123861,0.5040898405845203,10,balanced,,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'class_weight': 'balanced', 'kernel': 'rbf'}",13,0.4864864864864865,0.4840182648401826,0.4909090909090909,0.5193621867881549,0.5363636363636364,0.510250569476082,0.48623853211009177,0.48409090909090907,0.5045871559633027,0.5227272727272727,0.0003203656414804261,7.832235757963754e-05,0.01895715287748884,0.016860477037507197
18,0.026156854629516602,0.004856586456298828,0.6557377049180327,0.66757437702768,50,balanced,,0.01,rbf,"{'C': 50, 'gamma': 0.01, 'class_weight': 'balanced', 'kernel': 'rbf'}",5,0.7027027027027027,0.6666666666666666,0.6545454545454545,0.6674259681093394,0.6545454545454545,0.662870159453303,0.6605504587155964,0.6613636363636364,0.6055045871559633,0.6795454545454546,0.000374551426423071,0.00014224285011295423,0.03085657150241064,0.006400869047655708
19,0.02743186950683594,0.005325984954833984,0.6265938069216758,0.6543687302078103,50,balanced,,0.001,rbf,"{'C': 50, 'gamma': 0.001, 'class_weight': 'balanced', 'kernel': 'rbf'}",11,0.6846846846846847,0.6598173515981736,0.6090909090909091,0.6241457858769932,0.6454545454545455,0.6674259681093394,0.6330275229357798,0.6681818181818182,0.5596330275229358,0.6522727272727272,0.0002460890281048976,4.380195093491332e-05,0.04139295569389408,0.016178998290239607
